id,image_id,town,primary_category,display_context,specific_flag,confidence,timestamp,expert_id,needs_review,review_reason,user_content
000198bf-a7b3-419e-9b5d-099fba21ca1e,F6AsbXhdt2Gk6sG5aI4W4w_000_box0.jpg,METROPOLITAN_LISBURN,National,Building-mounted,Union Jack,5,2025-07-30 16:23:51.112985+00,Barry,false,,
000e13de-95ec-4731-9260-10c57b56ed41,d4hpdnFPbM3jUijqBMn57g_180_box0.jpg,ENNISKILLEN,National,Lamppost-mounted,Union Jack,5,2025-07-14 12:59:11.365048+00,Colm,false,,
000fde00-ca5a-465b-b7cb-4922fd8cfd86,cSK126dQtlrhy12qaHGGLw_060_box0.jpg,METROPOLITAN_NEWTOWNABBEY,National,Building-mounted,Union Jack,3,2025-07-31 15:48:19.086502+00,Pat,false,,
00152157-904b-4324-bd8f-82bb847e805b,H692MxLL08-PyARCF1wi-A_060_box0.jpg,CRAIGAVON,National,Building-mounted,Union Jack,5,2025-08-02 13:18:26.641921+00,Barry,false,,
0020f7af-352e-4a6e-9c1f-07a6e14ed760,SUceiHaRMkUehO8h5lXhcQ_060_box0.jpg,CRAIGAVON,National,Building-mounted,Union Jack,5,2025-08-04 12:32:24.559801+00,Colm,false,,
002a0d7d-b202-4128-95bb-4810aec41f6a,MWYRxa9rzn0Cqg13y5WiTA_060_box0.jpg,BANGOR,Proscribed,,UVF,3,2025-07-27 10:24:30.903377+00,Barry,false,,
00301fdb-21bf-49f8-b219-dad60292706a,bR8uCAcESzGdnqBc03ubxw_060_box0.jpg,CARRICKFERGUS,National,Building-mounted,Union Jack,4,2025-07-23 08:21:51.787177+00,Barry,false,,
00311ea9-be8a-4f3d-8013-408606749562,g4MEyXieVGfeYAkFjDNOnw_060_box0.jpg,LARNE,Review,,,,2025-07-31 17:02:25.728352+00,Pat,true,Unclear image,
0034124a-9709-4a75-8641-74f6c92309fc,gqYfw86ZKC9Y5H7b4Wiekg_060_box0.jpg,ENNISKILLEN,National,Lamppost-mounted,Ulster Banner,5,2025-07-14 20:07:50.486548+00,Colm,false,,
0038feae-600e-4b0d-9511-34c991be24e9,q9KlsqjiO8DiWePK_3zb5w_300_box0.jpg,LARNE,Review,,,,2025-07-29 15:01:59.602224+00,Barry,true,Unclear image,
0041e1fa-ca91-4215-9b97-392957cac46b,fg1Kudj56Kf61wRGRBUTVw_060_box0.jpg,LARNE,National,Lamppost-mounted,Union Jack,5,2025-07-29 15:01:19.429924+00,Barry,false,,
0044d2a4-d712-4495-8c26-63ca67cb95ca,6LIaP27_bzLQTq8W7rmSRg_000_box0.jpg,CRAIGAVON,National,Building-mounted,Union Jack,4,2025-08-04 12:31:48.536254+00,Colm,false,,
0057fb76-9351-4c54-b286-d1ef77b42176,fDXwvN11HYsg7hILebVC4g_180_box0.jpg,BALLYCLARE,Review,,,,2025-08-01 09:39:29.015064+00,Pat,true,Unclear image,
005a6f81-acbc-40a6-b6de-5ee13b8d91b7,RMRjfQFLBD_VYiLUXY088w_120_box0.jpg,ENNISKILLEN,Bunting,Bunting display,Union Jack Bunting,5,2025-07-04 14:40:04.092927+00,Declan,false,,
005f62f7-774c-442c-9c0b-17221d7ba08f,p3Io7kBlDrIUm6_xvouW7w_240_box0.jpg,CARRICKFERGUS,National,Lamppost-mounted,Ulster Banner,3,2025-07-18 12:30:48.973323+00,Brandon,false,,
006c395b-00c0-44c3-b13f-845ede8fa498,0BVBhcIMKji0gE8pgnXLTQ_240_box0.jpg,LARNE,National,Building-mounted,Ulster Banner,5,2025-07-31 17:01:29.166684+00,Pat,false,,
0076857e-037c-42d9-978a-163d1dc7ed56,GtgoFH_BGOxymSXqX7ANRg_120_box0.jpg,OMAGH_TOWN,National,Building-mounted,Ulster Banner,5,2025-07-31 16:24:56.918427+00,Pat,false,,
