image_id,town,consensus_category,consensus_context,consensus_flag,agreement_level,expert_category,expert_context,expert_flag,expert_confidence,notes
F6AsbXhdt2Gk6sG5aI4W4w_000_box0.jpg,METROPOLITAN_LISBURN,National,Building-mounted,Union Jack,1.0,,,,,
iAGhk-yexcXqAg6XgTc95Q_120_box0.jpg,METROPOLITAN_NEWTOWNABBEY,National,Lamppost-mounted,Union Jack,1.0,,,,,
q89PedfBCNQpMvWzuIA7Qg_060_box0.jpg,LISBURN_CITY,National,Lamppost-mounted,Union Jack,1.0,,,,,
DBznJ_LgG36wmDBWaPvmlw_180_box0.jpg,METROPOLITAN_NEWTOWNABBEY,National,Lamppost-mounted,Union Jack,1.0,,,,,
Ufv4d2AzJOQCO_HZmYP_Fw_120_box0.jpg,COLERAINE,National,Lamppost-mounted,Union Jack,1.0,,,,,
VQ_uebJIiM9pe20T6KluEQ_180_box0.jpg,METROPOLITAN_LISBURN,National,Lamppost-mounted,Union Jack,1.0,,,,,
ackOT_WGmiKRm88w8A6U6A_060_box0.jpg,KILKEEL,National,Lamppost-mounted,Union Jack,1.0,,,,,
1g_Fw9f5SWUDNkbm2rHXwA_060_box0.jpg,BALLYMONEY,National,Lamppost-mounted,Union Jack,1.0,,,,,
BSxrcn1Zn948gDv6sf19Kw_180_box0.jpg,BALLYMONEY,National,Lamppost-mounted,Union Jack,1.0,,,,,
RL8_bmitnGjdYzGblEKorQ_240_box0.jpg,LISBURN_CITY,National,Lamppost-mounted,Union Jack,1.0,,,,,
C4IiGyO0pqfnIdCEpCrY1A_300_box0.jpg,LARNE,National,Lamppost-mounted,Union Jack,1.0,,,,,
PzJ-wjtG2WqBdCHQ47v3lA_000_box0.jpg,METROPOLITAN_CASTLEREAGH,National,Lamppost-mounted,Union Jack,1.0,,,,,
kH63IBXEJyBnRmSz6g-8kQ_060_box0.jpg,ARMAGH,National,Lamppost-mounted,Union Jack,1.0,,,,,
6ZFL5CpUs_XfR0LfeMNSRA_000_box0.jpg,BALLYMENA,National,Lamppost-mounted,Union Jack,1.0,,,,,
gqYfw86ZKC9Y5H7b4Wiekg_060_box1.jpg,ENNISKILLEN,National,,Union Jack,1.0,,,,,
l6vvycBcyPpwB_etGUPpYA_000_box0.jpg,GREENISLAND,National,Lamppost-mounted,Union Jack,1.0,,,,,
HlG6HTVrGqphD4MzdDVgEA_000_box0.jpg,LARNE,National,Lamppost-mounted,Union Jack,1.0,,,,,
oRf2APZDdnUKmjtTLNSxuQ_240_box0.jpg,LISBURN_CITY,National,Lamppost-mounted,Union Jack,1.0,,,,,
ANOkTLSLnu0UVctqv46C9g_060_box0.jpg,BELFAST_CITY,National,Lamppost-mounted,Union Jack,1.0,,,,,
yoE4ei1C0ZH-TPhvf9ucqA_060_box0.jpg,BANGOR,National,Lamppost-mounted,Union Jack,1.0,,,,,
gtz72D7NiOTSjlB4GHRRCg_000_box0.jpg,DUNGANNON,National,Lamppost-mounted,Union Jack,1.0,,,,,
11Vryawcc4uK3sIawyOD6A_060_box0.jpg,BANGOR,National,Lamppost-mounted,Union Jack,1.0,,,,,
UJg_XtdXNtqGgq8mLO34Pw_300_box0.jpg,BANGOR,Proscribed,Lamppost-mounted,UVF,1.0,,,,,
TFA58jSxLE7TgF7PDuPlZg_120_box0.jpg,BALLYMENA,National,Lamppost-mounted,Union Jack,1.0,,,,,
fYCRb-qZJ12oKaKUH0ozhg_120_box0.jpg,METROPOLITAN_CASTLEREAGH,International,Building-mounted,Other International,1.0,,,,,
oiWc2djflaVnMwX6XoBX3g_120_box0.jpg,OMAGH_TOWN,National,Lamppost-mounted,Union Jack,1.0,,,,,
at8xfhnubwIGS92GhCVg8g_300_box0.jpg,ANTRIM,National,Lamppost-mounted,Union Jack,1.0,,,,,
HkuZgn5n_pXrSDMPJkC90g_000_box0.jpg,COLERAINE,National,Lamppost-mounted,Union Jack,1.0,,,,,
mSdc7P0lXmrc6gq3EtYXlQ_120_box0.jpg,ARMAGH,International,Building-mounted,Other International,1.0,,,,,
PHUy9ddt9r5KkcCYLPereA_240_box0.jpg,BALLYMENA,National,Lamppost-mounted,Union Jack,1.0,,,,,
NfUftvZSzExL3RiG9FMdKA_300_box0.jpg,LARNE,National,Building-mounted,Union Jack,1.0,,,,,
LKb2bAKsDLogceVDJuZ6IA_000_box0.jpg,BANGOR,National,Lamppost-mounted,Union Jack,1.0,,,,,
8sTC53LmaNXe3NU1VMqbLQ_000_box0.jpg,ANTRIM,National,Building-mounted,Union Jack,1.0,,,,,
XlhSZJmcWPybZdVvOJ-Oqw_180_box0.jpg,BELFAST_CITY,National,Lamppost-mounted,Union Jack,1.0,,,,,
IbmRuvVhaA32NeXWg-uaMQ_180_box0.jpg,GREENISLAND,National,Lamppost-mounted,Union Jack,1.0,,,,,
Ve64zVbyTP-6F70UGvUHnA_120_box0.jpg,ENNISKILLEN,National,Lamppost-mounted,Union Jack,1.0,,,,,
6abhbEkB_P3uhQIMQjJLrA_120_box0.jpg,LARNE,National,Lamppost-mounted,Union Jack,1.0,,,,,
Wd5i4rpY99rEtM5b-s1Nbw_300_box0.jpg,METROPOLITAN_NEWTOWNABBEY,National,Lamppost-mounted,Union Jack,1.0,,,,,
-da2O8-wFUV7h-tV4csQog_180_box0.jpg,BALLYMENA,National,Lamppost-mounted,Union Jack,1.0,,,,,
ctvwOd8mx6LBMBvHhtaraA_300_box0.jpg,BALLYMENA,National,Lamppost-mounted,Union Jack,1.0,,,,,
giA98lnN8PsLRMsLGk6t8w_000_box0.jpg,NEWTOWNARDS,National,Lamppost-mounted,Union Jack,1.0,,,,,
oOIUutKinhdzIqy4XPI-Dg_300_box0.jpg,METROPOLITAN_NEWTOWNABBEY,National,Lamppost-mounted,Union Jack,1.0,,,,,
KiihUTnuwVrM6y2YQ-LVwg_120_box0.jpg,LARNE,National,Lamppost-mounted,Union Jack,1.0,,,,,
5z2T9sNB5KsyWyzIVtnmpA_120_box0.jpg,CARRICKFERGUS,National,Lamppost-mounted,Union Jack,1.0,,,,,
fPxrC9UZAHU9mdjNXmr16g_120_box0.jpg,ANTRIM,National,Lamppost-mounted,Union Jack,1.0,,,,,
hvTVR3FAajJcKS3YWK9Bng_060_box0.jpg,METROPOLITAN_NEWTOWNABBEY,National,Lamppost-mounted,Union Jack,1.0,,,,,
ZISBSiTCehBHjUKvoKuMcA_180_box0.jpg,METROPOLITAN_NEWTOWNABBEY,National,Lamppost-mounted,Union Jack,1.0,,,,,
wHdlIHorgU5Uy9R6dDvY6g_300_box0.jpg,LARNE,National,Lamppost-mounted,Union Jack,1.0,,,,,
20VJ5f6nwISiI6fzygcoYg_120_box0.jpg,BELFAST_CITY,Bunting,Triangular bunting,Red/White/Blue Triangular Bunting,1.0,,,,,
IgNMHl_e4uhmNtihjU6xhQ_180_box0.jpg,OMAGH_TOWN,National,Lamppost-mounted,Union Jack,1.0,,,,,
rnC5G7tC6JErPkUMG7wC2g_000_box0.jpg,LISBURN_CITY,National,Lamppost-mounted,Union Jack,1.0,,,,,
-1ro95_IxsgFZ7Fq2wMlZQ_300_box0.jpg,OMAGH_TOWN,Fraternal,Lamppost-mounted,Orange Order,1.0,,,,,
WhaBsA6LMlLhXPBm0lybmg_300_box0.jpg,COOKSTOWN,National,Lamppost-mounted,Union Jack,1.0,,,,,
5Oo_TEqoI8fsnR_T3mRVmw_300_box0.jpg,COMBER,National,Pole-mounted (in ground),Union Jack,1.0,,,,,
0eblyq9DFMSTYteiMxLMFg_120_box0.jpg,BALLYMONEY,National,Lamppost-mounted,Union Jack,1.0,,,,,
zU4UxRfi98HYlYUHCyucag_060_box0.jpg,BALLYCLARE,National,Bunting display,Union Jack,1.0,,,,,
E1wWqOGC1rGkvnnC-exy6g_000_box0.jpg,LARNE,National,Lamppost-mounted,Union Jack,1.0,,,,,
TuIaLLOh3sXpiXK0sl4EgQ_180_box0.jpg,METROPOLITAN_LISBURN,National,Building-mounted,Union Jack,1.0,,,,,
l-d96gJ13Pyb9YFmuiuXsg_180_box0.jpg,CRAIGAVON,National,Building-mounted,Union Jack,1.0,,,,,
2k5ck4DE2dNIudhmCUq1_A_300_box0.jpg,BANGOR,Proscribed,Lamppost-mounted,UVF,1.0,,,,,
CpkwBNNB0cJM6mIQC_WQOQ_300_box0.jpg,LISBURN_CITY,National,Building-mounted,Union Jack,1.0,,,,,
kHu0hISN_PipOswEe-s7XQ_240_box0.jpg,COLERAINE,National,Lamppost-mounted,Ulster Banner,1.0,,,,,
RXo0rgYw2yE04FLjJBy-6A_120_box0.jpg,CRAIGAVON,National,Building-mounted,Union Jack,1.0,,,,,
H6Tm9JrLG94q-hAn_8WYrQ_180_box0.jpg,CARRICKFERGUS,National,Building-mounted,Union Jack,1.0,,,,,
foekTyzri4z5xItgf8nKTA_180_box0.jpg,BELFAST_CITY,National,Building-mounted,Union Jack,1.0,,,,,
d4hpdnFPbM3jUijqBMn57g_180_box0.jpg,ENNISKILLEN,National,Lamppost-mounted,Union Jack,1.0,,,,,
SrX1LSgWUz2bI30WGQetvw_300_box0.jpg,PORTSTEWART,National,Window display,Union Jack,1.0,,,,,
