key,year,title,authors,journal,doi,link
wikipedia_hhi,2025,Herfindahl–Hirschman index,Wikipedia,,,https://en.wikipedia.org/wiki/Herfindahl–Hirschman_index
usdoj_antitrust_division,2024,Herfindahl-Hirschman Index,U.S. Department of Justice Antitrust Division,,,https://www.justice.gov/atr/herfindahl-hirschman-index
zhang2024rs5m,2024,RS5M,"Zhang, Yiqun and Zhou, Zilun and Sheng, Huiying and others",IEEE Transactions on Geoscience and Remote Sensing,,
li2023efficient,2023,Efficient prompt tuning of large vision-language model for fine-grained ship classification,"Li, Long and Wang, Fengxiang and Zheng, Xiangtao and Liu, Xinwang",IEEE Transactions on Geoscience and Remote Sensing,,
liu2023grounding,2023,Grounding {DINO,"Liu, Shilong and Zeng, Zhaoyang and Ren, Tianhe and Li, Feng and Zhang, Hao and Yang, Jie and Li, Chunyuan and Yang, Jianwei and Su, Hang and Zhu, Jun and others",arXiv preprint arXiv:2303.05499,,
zhou2022conditional,2022,Conditional prompt learning for vision-language models,"Zhou, Kaiyang and Yang, Jingkang and Loy, Chen Change and Liu, Ziwei",,,
zhou2022learning,2022,Learning to prompt for vision-language models,"Zhou, Kaiyang and Yang, Jingkang and Loy, Chen Change and Liu, Ziwei",International Journal of Computer Vision,,
crawford2019excavating,2021,Excavating {AI,"Crawford, Kate and Paglen, Trevor",AI \& Society,,
radford2021learning,2021,Learning transferable visual models from natural language supervision,"Radford, Alec and Kim, Jong Wook and Hallacy, Chris and Ramesh, Aditya and Goh, Gabriel and Agarwal, Sandhini and Sastry, Girish and Askell, Amanda and Mishkin, Pamela and Clark, Jack and others",,,
jia2021scaling,2021,Scaling up visual and vision-language representation learning with noisy text supervision,"Jia, Chao and Yang, Yinfei and Xia, Ye and Chen, Yi-Ting and Parekh, Zarana and Pham, Hieu and Le, Quoc and Sung, Yun-Hsuan and Li, Zhen and Duerig, Tom",,,
komarova2020visual,2020,Visual symbols and communal relations in post-conflict {Belfast,"Komarova, Milena and Torney, Denis",Journal of Material Culture,,
johnson2019survey,2019,Survey on deep learning with class imbalance,"Johnson, Justin M and Khoshgoftaar, Taghi M",Journal of Big Data,,
