category,metric,value,percentage
OVERALL SUMMARY,Active Experts,5,
OVERALL SUMMARY,Average Confidence,4.05,
OVERALL SUMMARY,Flagged for Review,581,32.4%
OVERALL SUMMARY,Total Classifications,1791,
OVERALL SUMMARY,Towns Covered,9,
OVERALL SUMMARY,Unique Images,895,50.0%
TOP FLAG TYPES,European Union,3,0.2%
TOP FLAG TYPES,GAA,14,1.2%
TOP FLAG TYPES,Irish Tricolor,74,6.1%
TOP FLAG TYPES,Local Club,17,1.4%
TOP FLAG TYPES,Mixed Flags Bunting,2,0.2%
TOP FLAG TYPES,Orange Order,19,1.6%
TOP FLAG TYPES,Orange/Purple Triangular Bunting,1,0.1%
TOP FLAG TYPES,Other Colored Bunting,2,0.2%
TOP FLAG TYPES,Other International,3,0.2%
TOP FLAG TYPES,Other Proscribed,21,1.7%
TOP FLAG TYPES,Palestinian,2,0.2%
TOP FLAG TYPES,Red/White/Blue Triangular Bunting,16,1.3%
TOP FLAG TYPES,Royal Black Institution,4,0.3%
TOP FLAG TYPES,Scottish Saltire,23,1.9%
TOP FLAG TYPES,Supporters Club,3,0.2%
TOP FLAG TYPES,UDA,7,0.6%
TOP FLAG TYPES,UDR,2,0.2%
TOP FLAG TYPES,Ulster Banner,290,23.9%
TOP FLAG TYPES,Union Jack,660,54.5%
TOP FLAG TYPES,Union Jack Bunting,32,2.6%
TOP FLAG TYPES,UVF,15,1.2%
TOP FLAG TYPES,WW1 Commemorative,1,0.1%
PRIMARY CATEGORIES,Bunting,53,3.0%
PRIMARY CATEGORIES,Fraternal,23,1.3%
PRIMARY CATEGORIES,Historical,1,0.1%
PRIMARY CATEGORIES,International,8,0.4%
PRIMARY CATEGORIES,Military,2,0.1%
PRIMARY CATEGORIES,National,1047,58.5%
PRIMARY CATEGORIES,Proscribed,43,2.4%
PRIMARY CATEGORIES,Review,580,32.4%
PRIMARY CATEGORIES,Sport,34,1.9%
DISPLAY CONTEXTS,,80,4.5%
DISPLAY CONTEXTS,Building-mounted,312,17.4%
DISPLAY CONTEXTS,Bunting display,34,1.9%
DISPLAY CONTEXTS,Lamppost-mounted,662,37.0%
DISPLAY CONTEXTS,Memorial/Commemoration,1,0.1%
DISPLAY CONTEXTS,Not Specified,580,32.4%
DISPLAY CONTEXTS,Permanent installation,5,0.3%
DISPLAY CONTEXTS,Pole-mounted (in ground),88,4.9%
DISPLAY CONTEXTS,Temporary installation,2,0.1%
DISPLAY CONTEXTS,Triangular bunting,17,0.9%
DISPLAY CONTEXTS,Window display,10,0.6%
CONFIDENCE SCORES,Score 1,34,2.8%
CONFIDENCE SCORES,Score 2,144,11.9%
CONFIDENCE SCORES,Score 3,220,18.2%
CONFIDENCE SCORES,Score 4,145,12.0%
CONFIDENCE SCORES,Score 5,668,55.2%
EXPERT ACTIVITY,Barry,895,50.0%
EXPERT ACTIVITY,Brandon,282,15.7%
EXPERT ACTIVITY,Byron,14,0.8%
EXPERT ACTIVITY,Colm,560,31.3%
EXPERT ACTIVITY,Declan,40,2.2%
TOP TOWNS,BANGOR,200,11.2%
TOP TOWNS,CARRICKFERGUS,580,32.4%
TOP TOWNS,DUNGANNON,100,5.6%
TOP TOWNS,ENNISKILLEN,364,20.3%
TOP TOWNS,LIMAVADY,100,5.6%
TOP TOWNS,METROPOLITAN_NEWTOWNABBEY,261,14.6%
TOP TOWNS,NEWRY,100,5.6%
TOP TOWNS,OMAGH_TOWN,36,2.0%
TOP TOWNS,PORTSTEWART,50,2.8%
