id,image_id,town,primary_category,display_context,specific_flag,confidence,timestamp,expert_id,needs_review,review_reason,user_content
00230f4e-6a6f-460a-915c-9d0241b760b4,zp6N1MPC52Lw0xe9SUYhkQ_120_box0.jpg,BELFAST_CITY,National,Lamppost-mounted,Union Jack,5,2025-08-12 16:17:17.63341+00,Pat,false,,
002a4162-ecc4-426f-83c9-dd7c24e48ebb,U1Lu65yR1J_Cqj4QFPjGhg_060_box0.jpg,BALLYCLARE,National,Building-mounted,Union Jack,5,2025-08-17 18:25:19.786774+00,May,false,,
00489a6c-644d-41e4-aafe-8f01fc88605b,kEa7DJjlc97tPHu5q_5EqA_240_box0.jpg,BELFAST_CITY,National,Lamppost-mounted,Union Jack,5,2025-08-14 12:24:50.657207+00,Pat,false,,
004bb5bb-65e1-4dcf-a158-b7224cfc8f56,66IuZuAJAeHtLc5p4XjMHA_060_box0.jpg,BANGOR,Review,,,,2025-08-07 19:59:29.288387+00,May,true,Not a flag,
004c75f4-7f55-4867-ac92-ad7d5733a277,otK5pf19yBraJ4nqojFz5Q_180_box0.jpg,BALLYCLARE,National,Lamppost-mounted,Union Jack,5,2025-08-24 10:08:05.129338+00,May,false,,
00539442-ab4f-4c8f-87d1-0f9178eb1993,ZkAh-u8PJRw20URp2U1m7A_000_box0.jpg,LISBURN_CITY,National,Building-mounted,Union Jack,5,2025-08-12 16:15:49.181302+00,Pat,false,,
005df7d5-da83-49ea-8da0-8cf4f44a4552,RZqWAXOTVCpXcxgTWxeizg_060_box0.jpg,METROPOLITAN_CASTLEREAGH,National,Lamppost-mounted,Union Jack,5,2025-08-13 08:49:33.683833+00,Pat,false,,
006370c0-ba61-4aef-ba61-6388f1f18acc,0aUxFWhuXHwUTeMagUjciw_060_box0.jpg,CARRICKFERGUS,National,Pole-mounted (in ground),Union Jack,5,2025-08-14 09:48:50.36225+00,Pat,false,,
0089176b-1d6b-43cd-aa60-db933c58b2e3,kwwTAPjFR98x9fmvsjrXvQ_180_box0.jpg,BELFAST_CITY,National,Building-mounted,Union Jack,5,2025-08-12 15:55:52.429091+00,Pat,false,,
008f0302-17a6-499e-967a-1c40db41d40f,i-Iao3LF21FrnYk2GUCE7A_120_box0.jpg,HOLYWOOD,National,Lamppost-mounted,Union Jack,5,2025-08-14 12:11:40.282471+00,Pat,false,,
009825e5-771b-483a-a523-2a2beebe470c,TYWLyv8d8qMSasHozuIQlQ_000_box0.jpg,LIMAVADY,National,Building-mounted,Union Jack,2,2025-08-07 20:09:02.592669+00,Byron,false,,
00aaf1cc-38d6-4a45-90bb-a405f0c56205,95ZRxoD2A4rMhkHSmi19iA_000_box0.jpg,BELFAST_CITY,National,Lamppost-mounted,Union Jack,5,2025-08-28 20:49:01.978168+00,May,false,,
00c01f15-6cee-4a58-b085-55c4df20bd21,_5s1lA6hzexUJKDQArnKjw_300_box0.jpg,CRAIGAVON,International,Lamppost-mounted,Other International,3,2025-08-17 14:26:18.080671+00,May,false,,
00e36a83-9619-4b96-aff8-58b8cec98506,By2dUTBTO_clGNBfIHQ-BA_300_box0.jpg,BELFAST_CITY,National,Lamppost-mounted,Union Jack,5,2025-08-29 08:25:21.57852+00,May,false,,
