f,pano_id,flags,indicator,flags_correct
tPVDI_bSrwOEzO7l2phMqg_240,tPVDI_bSrwOEzO7l2phMqg,1,1.0,1
Xdkhj2ivRF_-3zcuwy9DNg_120,Xdkhj2ivRF_-3zcuwy9DNg,1,1.0,1
XGRAUZTmsPD6VHCK3Ksk-Q_300,XGRAUZTmsPD6VHCK3Ksk-Q,1,1.0,1
ECjMwwOBqPh8Gs1rg0x8jA_180,ECjMwwOBqPh8Gs1rg0x8jA,1,1.0,1
hHaZXLSlTRgbAtC5sN5BmQ_120,hHaZXLSlTRgbAtC5sN5BmQ,1,1.0,1
ZP55Ydb9H8Y1cEWYhYAgzw_240,ZP55Ydb9H8Y1cEWYhYAgzw,1,1.0,1
ScH0zbysQKCbisaBWfC9uw_180,ScH0zbysQKCbisaBWfC9uw,1,1.0,1
Qi23_GKOLB7-MAIlXqDSEg_120,Qi23_GKOLB7-MAIlXqDSEg,1,1.0,1
TJG87O8jBgd8dzwiuPR1KQ_060,TJG87O8jBgd8dzwiuPR1KQ,1,1.0,1
nuyOVyoGQSFo_l3h1_LEtg_060,nuyOVyoGQSFo_l3h1_LEtg,1,1.0,1
v8wy7PM7Jqqog4R_HtbbQQ_240,v8wy7PM7Jqqog4R_HtbbQQ,1,1.0,1
pGAolNdN7sLGI3ZWGyi8Ug_300,pGAolNdN7sLGI3ZWGyi8Ug,1,1.0,1
Kl0NZDrCatcCSiQ33GmT-A_240,Kl0NZDrCatcCSiQ33GmT-A,1,1.0,1
NREaXVjDT4hgBgfT92v0Iw_180,NREaXVjDT4hgBgfT92v0Iw,1,1.0,1
mRv77-0EbxsE5O8MW_SEvA_000,mRv77-0EbxsE5O8MW_SEvA,1,1.0,1
uxN0xRE9t4To6LBtKkw2og_120,uxN0xRE9t4To6LBtKkw2og,1,1.0,1
GP27ckTW5bwq6AOmCMnCAg_000,GP27ckTW5bwq6AOmCMnCAg,1,1.0,1
r8OFBKqHRBGR-LVrfy6FIA_180,r8OFBKqHRBGR-LVrfy6FIA,1,1.0,1
rQT_klvRS88UOGC22DDHmQ_000,rQT_klvRS88UOGC22DDHmQ,1,1.0,1
